Title,Price,Date
Barbie Logo T-Shirt,22.99,2023-01-03 18:45:45.236212
Barbie Logo T-Shirt,22.99,2023-01-03 18:49:31.264493
Barbie Logo T-Shirt,22.99,2023-01-03 18:49:43.863492
Barbie Logo T-Shirt,22.99,2023-01-03 18:49:56.524818
